"국가(대륙)별","상품군별","판매유형별",2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4 p)
"합계","사무·문구","면세점",-,-,-,-,-,-,-,-,-,-,-,-,5,0,7,0,2,0,1,0,5,7,10,8,0
"합계","사무·문구","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1395,1288,2204,1216,1109,1054,1154,1021,1598,1443,1567,1260,1394
"합계","음반·비디오·악기","계",5427,5485,6135,5259,5228,7851,6636,6049,6020,5649,5029,7076,7005,6257,11110,10487,9346,12446,15905,21945,15193,23557,23784,26899,31713
"합계","음반·비디오·악기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","음반·비디오·악기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,7005,6257,11110,10487,9346,12446,15905,21945,15193,23557,23784,26899,31713
"합계","의류 및 패션관련 상품","계",44868,40464,39403,49622,57995,57089,61260,95899,87385,90636,77799,103781,101442,83794,103080,122622,135287,140895,129694,122910,125791,146406,141347,151062,86558
"합계","의류 및 패션관련 상품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,32919,26185,47642,48785,58686,64583,62307,42279,47046,69090,72555,74266,26073
"합계","의류 및 패션관련 상품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,68523,57609,55438,73837,76601,76312,67387,80631,78745,77316,68792,76796,60485
"합계","스포츠·레저용품","계",2992,2490,2496,2629,2822,2834,2959,4610,4862,4103,4229,6427,4915,4030,3681,4014,3827,4065,3691,3682,4033,4244,6468,3745,4133
"합계","스포츠·레저용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,5,2,0,0,0,0,1,3,4,0,0,0,0
"합계","스포츠·레저용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,4910,4028,3681,4014,3827,4065,3690,3679,4029,4244,6468,3745,4133
"합계","화장품","계",46002,56762,62722,91492,141766,148686,142540,283494,347511,332184,415989,541910,591665,428572,569631,646114,604771,658878,694831,751804,1033586,1097379,1276592,1610022,1289605
"합계","화장품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,561473,405600,547625,606157,577245,628490,668249,706928,1000553,1063855,1239233,1557171,1262739
"합계","화장품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,30192,22972,22006,39957,27526,30388,26582,44876,33033,33524,37359,52851,26866
"합계","아동·유아용품","계",2268,2290,2557,3064,4240,3656,3601,4378,4956,5697,6268,6445,4844,4297,4211,4467,4274,4756,5008,5627,4514,5014,3972,5609,4203
"합계","아동·유아용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,282,104,255,90,141,366,295,132,383,298,93,128,32
"합계","아동·유아용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,4562,4193,3956,4377,4133,4390,4713,5495,4131,4716,3879,5481,4171
"합계","음·식료품","계",6854,7988,6318,11649,11248,11224,8951,4601,8015,9084,6690,9198,8804,4281,6916,11051,12430,11322,10883,11417,11175,9367,8746,10423,5324
"합계","음·식료품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,6375,2813,5820,9716,11087,10086,9816,9679,8335,7707,6859,8264,3444
"합계","음·식료품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,2429,1468,1096,1335,1343,1236,1067,1738,2840,1660,1887,2159,1880
"합계","농축수산물","계",3464,3485,3526,5222,5299,4882,5242,1627,592,68,32,41,26,23,36,33,61,57,40,56,25,39,22,40,32
"합계","농축수산물","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"합계","농축수산물","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,26,23,36,33,61,57,40,56,25,39,22,40,32
"합계","생활용품 및 자동차용품","계",7233,7055,7548,8173,11973,8022,9347,16012,13984,13013,11945,14520,11795,10018,10399,14829,11471,10644,8241,10747,9974,10090,13179,15463,9400
"합계","생활용품 및 자동차용품","면세점",-,-,-,-,-,-,-,-,-,-,-,-,71,7,15,5,4,0,3,5,105,124,114,86,51
"합계","생활용품 및 자동차용품","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,11724,10011,10384,14824,11467,10644,8238,10742,9869,9966,13065,15377,9349
"합계","기 타","계",6972,6429,7694,7640,8025,7980,7195,7840,11783,9022,9181,9885,10383,10532,10552,12768,13786,13618,12713,14212,12704,13713,14749,20517,29558
"합계","기 타","면세점",-,-,-,-,-,-,-,-,-,-,-,-,187,109,255,450,408,600,682,311,188,234,137,164,39
"합계","기 타","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,10196,10423,10297,12318,13378,13018,12031,13901,12516,13479,14612,20353,29519
"미국","합계","계",25773,22573,21288,26729,39945,26654,28647,37392,38179,36831,35290,44421,45169,40976,41927,53209,42679,40207,37631,48978,40918,44861,55386,53848,38489
"미국","합계","면세점",-,-,-,-,-,-,-,-,-,-,-,-,8160,9183,9469,12177,5184,3603,2317,2079,2657,2951,1818,1481,698
"미국","합계","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,37009,31793,32458,41032,37495,36604,35314,46899,38261,41910,53568,52367,37791
"미국","컴퓨터 및 주변기기","계",2216,1666,1776,1675,1469,1393,2166,2362,2533,2121,1704,1531,1054,946,791,854,2033,1553,1784,1774,1298,1408,1653,1382,1191
"미국","컴퓨터 및 주변기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0
"미국","컴퓨터 및 주변기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1054,946,791,854,2033,1553,1784,1773,1298,1408,1653,1382,1191
"미국","가전·전자·통신기기","계",2875,2758,2894,3527,4397,3589,2982,3286,3571,2921,2744,3354,2730,2425,2575,2394,1737,1716,1723,1886,1845,1837,3166,1785,1841
"미국","가전·전자·통신기기","면세점",-,-,-,-,-,-,-,-,-,-,-,-,18,23,29,32,65,38,72,52,66,116,107,49,12
"미국","가전·전자·통신기기","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,2712,2402,2546,2362,1672,1678,1651,1834,1779,1721,3059,1736,1829
"미국","소프트웨어","계",47,57,49,128,182,113,163,116,147,103,82,83,67,45,37,125,175,251,172,269,88,156,118,338,98
"미국","소프트웨어","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"미국","소프트웨어","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,67,45,37,125,175,251,172,269,88,156,118,338,98
"미국","서 적","계",962,720,934,1006,1074,837,993,1579,1964,1406,1584,1610,1969,1511,1876,1856,2089,1790,2033,1977,2259,1563,2596,1720,2121
"미국","서 적","면세점",-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0
"미국","서 적","면세점 이외",-,-,-,-,-,-,-,-,-,-,-,-,1969,1511,1876,1856,2089,1790,2033,1977,2259,1563,2596,1720,2121
